county,state,demand_index_100,demand_tier,idx_market_size,idx_infra_age,idx_climate_stress,idx_economic_capacity,idx_operational_complexity,idx_growth_potential,est_total_meters,est_residential_meters,est_commercial_meters,est_industrial_meters,est_transport_meters,total_pop,total_housing_units,median_income,median_year_built,n_utilities,n_iou,n_coop,n_muni
Yates County,New York,47.91575793400643,4,0.462995197090338,0.5753424657534247,0.6039789674549729,0.27529756411765005,0.7689244946556257,0.5234609668369706,4207.055325021671,3617.714437988113,582.4826173303416,6.849137519856329,0.009132183359808439,24526,13211,69701,1969,1,1,0,0
Alamance County,North Carolina,57.50146087400411,5,0.6096021697067251,0.31506849315068497,0.3839513950675023,0.2758340334775598,0.6597153710939769,0.6806126272791615,95246.08161758537,82659.87246003519,12398.205055432496,187.4473042514546,0.5567978662330807,176893,77073,65651,1988,4,2,2,0
Alexander County,North Carolina,46.31789017630225,3,0.5136433475568135,0.3561643835616438,0.3738984896121193,0.26758269990006106,0.7057696660095881,0.5548909868026174,18508.783336878543,16186.265689541562,2300.710282066365,21.69020170108258,0.11716356953236676,36412,16218,65354,1985,3,1,2,0
Alleghany County,North Carolina,39.56180062009639,2,0.4402708145089352,0.4246575342465754,0.48655722731189477,0.20829898366179142,0.800575448732488,0.4609355637096092,3988.549781988242,3552.1709667824757,436.0331099424753,0.3457052632911232,0,11174,7804,47172,1980,1,0,1,0
Anson County,North Carolina,41.61130006208184,3,0.48714084198774854,0.5068493150684932,0.3857613075639319,0.19252148698870516,0.6914033297903395,0.5158541233926784,10983.773230098219,9452.139174313026,1507.5010075103678,24.061137671106465,0.07191060371964353,22289,9954,47302,1974,3,2,1,0
Ashe County,North Carolina,46.341024333842476,3,0.4868433786802358,0.3835616438356164,0.4300067952874065,0.2472267521137502,0.800575448732488,0.5309572067776447,8799.955169947918,7837.170644036476,962.021794847455,0.7627310639859763,0,26950,17218,56866,1983,1,0,1,0
Avery County,North Carolina,42.898528718046,3,0.5084806353964739,0.3561643835616438,0.42172461767378555,0.26784301251864256,0.6939815723104825,0.4974290632324298,15897.096931491924,13683.65488401932,2196.731680081227,16.710367391376135,0,17680,14201,61428,1985,3,1,2,0
Beaufort County,North Carolina,45.100006878761725,3,0.5326658541174755,0.4246575342465754,0.32536704475625144,0.2398099153103207,0.6139001044409259,0.5708436348195911,21179.757312848054,18179.626638834663,2967.034715117624,33.095958895769904,0,44499,24526,58357,1980,5,2,2,1
Bertie County,North Carolina,36.416203580734035,2,0.461866437742202,0.410958904109589,0.41904200258253355,0.1850361525745975,0.6282267442827751,0.49510105394935855,4262.386287097827,3515.1142206534046,744.5650804882102,2.706985956212345,0,17170,8984,48750,1981,4,1,2,1
Bladen County,North Carolina,42.08865525103803,3,0.5140282586029976,0.3835616438356164,0.35752262383910843,0.1731077993657903,0.6794770248433527,0.5383255970939546,21431.597929527663,19003.751426179493,2409.9291851346225,17.91731821354655,0,29566,15286,42422,1983,4,1,3,0
Brunswick County,North Carolina,57.5310276135387,5,0.6198349748424429,0.12328767123287676,0.3605035502939046,0.33988916498267924,0.671515423885902,0.6688460961451199,115365.87381263569,101370.48156090612,13878.861223193646,116.5310285359252,0,152568,99077,77024,2002,4,2,1,1
Buncombe County,North Carolina,63.030302914939604,5,0.6422948507772771,0.273972602739726,0.3923627706190339,0.34162841319500176,0.6649927278410701,0.715521912516658,172955.0918063809,151105.13781294896,21515.48668759498,333.4957613603655,0.9715444765952201,274360,134483,74436,1991,4,2,2,0
Burke County,North Carolina,51.740163854814426,4,0.5727519060891711,0.4246575342465754,0.38327100815715587,0.23879850713485296,0.64199305656041,0.6248926516794431,44541.31232882103,37731.807184730336,6715.7094723150285,93.50411379446084,0.29155798120528165,87795,40358,58592,1980,4,1,2,1
Cabarrus County,North Carolina,59.596682343975715,5,0.6172715846328196,0.1917808219178082,0.32813277614487085,0.38066209814684643,0.6273428985969579,0.703587427467035,107888.9800520403,94306.84491984456,13396.084602448269,185.37367859485326,0.6768511526117261,236133,93691,89005,1997,5,2,2,1
